Anyul,14,2010,South Korea,images/anyul.jpg,Beat
Ayumu,20,2004,Japan,images/ayumu.jpg,Rhythm
Bae Jaeho,16,2008,South Korea,images/bae-jaeho.jpg,Groove
Cha Woongki,22,2002,South Korea,images/cha-woongki.jpg,Rhythm
Chih En,18,2006,Taiwan,images/chih-en.jpg,Beat
Daisuke,14,2009,Japan,images/daisuke.jpg,Rhythm
Eito,20,2004,Japan,images/eito.jpg,Rhythm
Hiroto,21,2003,Japan,images/hiroto.jpg,Groove
James,20,2004,Thailand,images/james.jpg,Groove
Jang Kyungho,23,2001,South Korea,images/jang-kyungho.jpg,Groove
Jin Ziming,17,2007,China,images/jin-ziming.jpg,Rhythm
Jiang Fan,19,2005,China,images/jiang-fan.jpg,Beat
JL,20,2004,Philippines,images/jl.jpg,Rhythm
Kenta,22,2002,Japan,images/kenta.jpg,Groove
Keum Jinho,24,2000,South Korea,images/keum-jinho.jpg,Beat
Kim Daeyun,22,2002,South Korea,images/kim-daeyun.jpg,Groove
Kim Dongyun,16,2008,South Korea,images/kim-dongyun.jpg,Beat
Kim Gijoong,23,2001,South Korea,images/kim-gijoong.jpg,Rhythm
Kim Hyotae,20,2004,South Korea,images/kim-hyotae.jpg,Beat
Kim Joohyoung,21,2003,South Korea,images/kim-joohyoung.jpg,Groove
Koo Hanseo,22,2002,South Korea,images/koo-hanseo.jpg,Beat
Kwon Heejun,23,2001,South Korea,images/kwon-heejun.jpg,Rhythm
Li Zhinuo,20,2004,China,images/li-zhinuo.jpg,Beat
Li Zhiwei,22,2002,China,images/li-zhiwei.jpg,Groove
Mac,17,2006,Thailand,images/mac.jpg,Rhythm
Nam Doyoon,15,2008,South Korea,images/nam-doyoon.jpg,Rhythm
Park Jihun,18,2006,South Korea,images/park-jihun.jpg,Beat
Park Juwon,18,2006,South Korea,images/park-juwon.jpg,Rhythm
Park Yeonjun,17,2007,South Korea,images/park-yeonjun.jpg,Beat
Park Han,21,2003,South Korea,images/park-han.jpg,Groove
Royce,23,2000,China,images/royce.jpg,Rhythm
Seo Jeongwoo,23,2001,South Korea,images/seo-jeongwoo.jpg,Groove
Sirin,16,2008,Thailand,images/sirin.jpg,Rhythm
Steven,24,2000,Australia,images/steven.jpg,Rhythm
Yeo Gangdong,17,2007,South Korea,images/yeo-gangdong.jpg,Groove
Yuito,16,2007,Japan,images/yuito.jpg,Beat
Zhang Shuaibo,22,2002,China,images/zhang-shuaibo.jpg,Rhythm
Zenzen,15,2009,Thailand,images/zenzen.jpg,Groove